project,run_id,run_name,step,metric,value
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,600,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,600,loss/lpips,0.1599799394607544
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,600,stats/keep_prob,0.5974175930023193
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,stats/masked_frac,0.4448699951171875
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,time/hrs,0.12459422118133968
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,loss/total,0.046789638698101044
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,debug/z_std,0.9956318140029907
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,loss/mse,0.008172983303666115
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,stats/psnr,20.876195907592773
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,loss/lpips,0.1930832862854004
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,700,stats/keep_prob,0.5524334907531738
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,stats/masked_frac,0.46905517578125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,time/hrs,0.1422969333993064
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,loss/total,0.03740552440285683
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,debug/z_std,0.9957378506660461
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,loss/mse,0.00853668712079525
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,stats/psnr,20.68710708618164
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,loss/lpips,0.14434418082237244
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,800,stats/keep_prob,0.5273934602737427
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,stats/masked_frac,0.48419189453125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,time/hrs,0.16001274658574
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,loss/total,0.038969509303569794
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,debug/z_std,0.9958095550537109
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,loss/mse,0.00816265493631363
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,stats/psnr,20.88168716430664
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,loss/lpips,0.15403425693511963
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,900,stats/keep_prob,0.5155840516090393
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,stats/masked_frac,0.469757080078125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,time/hrs,0.1777159986893336
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,loss/total,0.03968328237533569
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,debug/z_std,0.9957414269447327
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,loss/mse,0.008819702081382275
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,stats/psnr,20.545461654663086
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,loss/lpips,0.15431790053844452
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1000,stats/keep_prob,0.5328586101531982
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,stats/masked_frac,0.5029296875
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,time/hrs,0.1954603260093265
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,loss/total,0.04136360064148903
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,debug/z_std,0.9952051043510437
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,loss/mse,0.008109434507787228
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,stats/psnr,20.91009521484375
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,loss/lpips,0.16627082228660583
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1100,stats/keep_prob,0.4942062497138977
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,stats/masked_frac,0.445526123046875
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,time/hrs,0.2131763208574719
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,loss/total,0.03162231296300888
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,debug/z_std,0.989912748336792
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,loss/mse,0.009032797068357468
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,stats/psnr,20.44178009033203
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,loss/lpips,0.11294758319854736
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1200,stats/keep_prob,0.5551533699035645
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,stats/masked_frac,0.5095977783203125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,time/hrs,0.23088966058360205
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,loss/total,0.033126041293144226
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,debug/z_std,0.9945482611656189
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,loss/mse,0.008275888860225677
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,stats/psnr,20.821853637695312
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1300,loss/lpips,0.12425076961517334
