entity,project,run_id,run_name,run_path,state,created_at,updated_at,url,latest.eval.mse_pred_tmid,latest_step.eval.mse_pred_tmid,latest.eval.mse_pred_t1,latest_step.eval.mse_pred_t1,latest.eval.psnr_pred,latest_step.eval.psnr_pred,latest.stats.B_self,latest_step.stats.B_self,latest.stats.sigma_mean,latest_step.stats.sigma_mean,latest.time.hrs,latest_step.time.hrs,latest.loss.total,latest_step.loss.total,latest.eval.mse_ratio_pred_over_floor,latest_step.eval.mse_ratio_pred_over_floor,latest.eval.mse_pred,latest_step.eval.mse_pred,latest.lr,latest_step.lr,latest.eval.mse_floor_tmid,latest_step.eval.mse_floor_tmid,latest.loss.flow_mse,latest_step.loss.flow_mse,latest.eval.mse_floor_tend,latest_step.eval.mse_floor_tend,latest.eval.psnr_floor,latest_step.eval.psnr_floor,latest.eval.mse_floor,latest_step.eval.mse_floor,latest.stats.action_shuffle_loss_ratio,latest_step.stats.action_shuffle_loss_ratio,latest.loss.loss_self,latest_step.loss.loss_self,latest.eval.mse_pred_tend,latest_step.eval.mse_pred_tend,latest.loss.bootstrap_mse,latest_step.loss.bootstrap_mse,latest.eval.psnr_gain_over_floor_db,latest_step.eval.psnr_gain_over_floor_db,latest.eval.mse_floor_t1,latest_step.eval.mse_floor_t1,latest.loss.loss_emp,latest_step.loss.loss_emp,latest.stats.masked_frac,latest_step.stats.masked_frac,latest.debug.z_std,latest_step.debug.z_std,latest.loss.mse,latest_step.loss.mse,latest.stats.psnr,latest_step.stats.psnr,latest.amp.scale,latest_step.amp.scale,latest.loss.lpips,latest_step.loss.lpips,latest.stats.keep_prob,latest_step.stats.keep_prob
jerrychsh-ucsd,dreamer4-dynamics,qrmkey4s,pusht-dynamics,jerrychsh-ucsd/dreamer4-dynamics/qrmkey4s,killed,2026-05-02T20:33:10Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-dynamics/runs/qrmkey4s,0.0029845149256289005,39000,0.0014130701310932636,39000,25.78904151916504,39000,6,39800,0.4095052182674408,39800,21.801250046160487,39800,0.008622594177722931,39800,1.295414924621582,39000,0.002636913675814867,39000,0.0001,39800,0.0019329454516991973,39000,0.03682669997215271,39800,0.003099229885265231,39000,26.913129806518555,39000,0.002035574521869421,39000,1.3108413219451904,39800,0.0007066180696710944,39800,0.0025721751153469086,39000,0.0050175925716757774,39800,-1.1240882873535156,39000,0.00039058655966073275,39000,0.011261251755058765,39800,,,,,,,,,,,,,,
jerrychsh-ucsd,dreamer4-dynamics,q1j6xmvj,pusht-dynamics-resume-40k,jerrychsh-ucsd/dreamer4-dynamics/q1j6xmvj,killed,2026-05-03T22:32:45Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-dynamics/runs/q1j6xmvj,0.0036144729238003492,40000,0.0012669636635109782,40000,25.056842803955078,40000,6,40000,0.37451171875,40000,5.475347601109081,40000,0.009973702020943165,40000,0.8195570707321167,40000,0.003121157642453909,40000,0.0001,40000,0.004155552946031094,40000,0.04405788704752922,40000,0.005472949706017971,40000,24.192636489868164,40000,0.0038083470426499844,40000,1.2544716596603394,40000,0.0011547872563824058,40000,0.0034902484621852636,40000,0.009448777884244919,40000,0.8642063140869141,40000,0.0008409790461882949,40000,0.012913339771330357,40000,,,,,,,,,,,,,,
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,,,,,,,,,,,18.1487986704376,101800,0.006174270994961262,101800,,,,,0.0001,101800,,,,,,,,,,,,,,,,,,,,,,,,,0.458282470703125,101800,0.9922614693641663,101800,0.0012239901116117835,101800,29.122220993041992,101800,8388608,101800,0.02475140243768692,101800,0.5407755374908447,101800
