entity,project,run_id,run_name,run_path,state,created_at,updated_at,url,_step,loss/total,loss/mse,loss/lpips,loss/flow_mse,loss/bootstrap_mse,loss/loss_emp,loss/loss_self,stats/psnr,stats/keep_prob,stats/masked_frac,stats/action_shuffle_loss_ratio,stats/sigma_mean,stats/B_self,eval/mse_pred,eval/mse_floor,eval/mse_ratio_pred_over_floor,eval/psnr_pred,eval/psnr_floor,eval/psnr_gain_over_floor_db,eval/mse_pred_t1,eval/mse_pred_tmid,eval/mse_pred_tend,eval/mse_floor_t1,eval/mse_floor_tmid,eval/mse_floor_tend,debug/z_std,amp/scale,lr,time/hrs
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,1200,0.03162231296300888,0.009032797068357468,0.11294758319854736,,,,,20.44178009033203,0.5551533699035645,0.445526123046875,,,,,,,,,,,,,,,,0.989912748336792,65536,0.0001,0.2131763208574719
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,1300,0.033126041293144226,0.008275888860225677,0.12425076961517334,,,,,20.821853637695312,0.49123862385749817,0.5095977783203125,,,,,,,,,,,,,,,,0.9945482611656189,65536,0.0001,0.23088966058360205
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,1400,0.0303324144333601,0.00811484083533287,0.111087866127491,,,,,20.90719985961914,0.6129821538925171,0.3851776123046875,,,,,,,,,,,,,,,,0.9933714866638184,65536,0.0001,0.24860026094648574
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,1500,0.028595488518476486,0.008783538825809956,0.09905974566936493,,,,,20.563304901123047,0.54524165391922,0.4537200927734375,,,,,,,,,,,,,,,,0.9801004528999329,65536,0.0001,0.26630824201636843
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,1600,0.029074031859636307,0.008181230165064335,0.10446400940418243,,,,,20.871814727783203,0.5520063042640686,0.4502105712890625,,,,,,,,,,,,,,,,0.9923734664916992,65536,0.0001,0.2840890183051427
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,1700,0.02849089354276657,0.007940501905977726,0.1027519553899765,,,,,21.00152015686035,0.5841126441955566,0.41796875,,,,,,,,,,,,,,,,0.9884340763092041,65536,0.0001,0.30180017193158465
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,1800,0.026627548038959503,0.00759204663336277,0.09517750144004822,,,,,21.1964111328125,0.5630127191543579,0.4339599609375,,,,,,,,,,,,,,,,0.9824545383453369,65536,0.0001,0.3195182306898965
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,1900,0.02508275955915451,0.007065522018820047,0.0900861918926239,,,,,21.50855827331543,0.578707218170166,0.4227447509765625,,,,,,,,,,,,,,,,0.9735004901885986,65536,0.0001,0.3372334420018726
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,2000,0.024251872673630714,0.0071060508489608765,0.08572910726070404,,,,,21.483718872070312,0.5260516405105591,0.4742431640625,,,,,,,,,,,,,,,,0.982747495174408,131072,0.0001,0.35495408554871877
jerrychsh-ucsd,dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,jerrychsh-ucsd/dreamer4-tokenizer/qpuq9n6z,killed,2026-05-02T02:20:46Z,,https://wandb.ai/jerrychsh-ucsd/dreamer4-tokenizer/runs/qpuq9n6z,2100,0.024227233603596687,0.0071321208961308,0.08547556400299072,,,,,21.467815399169922,0.5482040047645569,0.451446533203125,,,,,,,,,,,,,,,,0.9879612922668457,131072,0.0001,0.3727901899814606
